"filename", "language", "TypeScript", "vue", "Less", "JavaScript", "comment", "blank", "total"
"d:\vscode\pj\re-project\src\utils\FakePost.ts", "TypeScript", 29, 0, 0, 0, 0, 3, 32
"d:\vscode\pj\re-project\src\utils\Num.ts", "TypeScript", 6, 0, 0, 0, 0, 2, 8
"d:\vscode\pj\re-project\src\utils\Style.ts", "TypeScript", 21, 0, 0, 0, 6, 6, 33
"d:\vscode\pj\re-project\src\utils\localStorage.ts", "TypeScript", 64, 0, 0, 0, 6, 14, 84
"d:\vscode\pj\re-project\src\utils\requestTransform.ts", "TypeScript", 16, 0, 0, 0, 0, 2, 18
"d:\vscode\pj\re-project\src\utils\uuid.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 12
"d:\vscode\pj\re-project\src\var.less", "Less", 0, 0, 8, 0, 0, 10, 18
"d:\vscode\pj\re-project\src\views\BottomBar.vue", "vue", 0, 111, 0, 0, 1, 5, 117
"d:\vscode\pj\re-project\src\views\LeftBar.vue", "vue", 0, 278, 0, 0, 0, 23, 301
"d:\vscode\pj\re-project\src\views\MainContent.vue", "vue", 0, 18, 0, 0, 0, 1, 19
"d:\vscode\pj\re-project\src\views\MidBar.vue", "vue", 0, 47, 0, 0, 0, 10, 57
"d:\vscode\pj\re-project\src\vuex.d.ts", "TypeScript", 6, 0, 0, 0, 16, 3, 25
"Total", "-", 549, 5148, 8, 52, 296, 670, 6723
